epc,rssi,timestamp,reader,antenna
18412345,-57,2026-04-18 22:22:24.221,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.247,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.271,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.295,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.317,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.345,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.366,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.393,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.431,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.456,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.481,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.501,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.532,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.550,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.578,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.598,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.632,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.652,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.683,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.703,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.727,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.751,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.778,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:24.801,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.836,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.854,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.881,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.902,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.930,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.950,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:24.981,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.000,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.036,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.053,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.081,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.103,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.130,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.153,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.179,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.201,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.234,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.256,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.282,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.304,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.332,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.354,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.381,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.405,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.439,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.458,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.486,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.507,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.536,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.555,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.585,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.604,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.629,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.653,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.678,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.702,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.732,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.749,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.778,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.799,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:25.827,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.855,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.882,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.903,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.930,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.952,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:25.980,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.002,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.031,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.055,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.085,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.104,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.133,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.153,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.180,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.201,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:26.229,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.252,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.278,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.302,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.329,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.349,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.379,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.398,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.426,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.453,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.481,192.168.1.10,1,CP
